"","Genus","Species","Antibiotic","Equiv","Result","Phenotype","Data"
"6788","Escherichia","coli","AMP","=","2","S","PNUSAE014508"
"6790","Escherichia","coli","AMP","=","2","S","PNUSAE007184"
"6791","Escherichia","coli","AMP","=","4","S","PNUSAE005872"
"6793","Escherichia","coli","AMP","=","4","S","PNUSAE008899"
"6794","Escherichia","coli","AMP","=","2","S","PNUSAE009812"
"6796","Escherichia","coli","AMP","=","2","S","PNUSAE008414"
"6798","Escherichia","coli","AMP",">","32","R","PNUSAE007247"
"6801","Escherichia","coli","AMP","=","2","S","PNUSAE005657"
"6802","Escherichia","coli","AMP","=","4","S","PNUSAE006182"
"6803","Escherichia","coli","AMP","=","2","S","PNUSAE005498"
"6806","Escherichia","coli","AMP","=","2","S","PNUSAE008612"
"6807","Escherichia","coli","AMP","=","2","S","PNUSAE008293"
"6810","Escherichia","coli","AMP","=","2","S","PNUSAE009509"
"6819","Escherichia","coli","AMP","=","2","S","PNUSAE014533"
"6820","Escherichia","coli","AMP","=","4","S","PNUSAE014544"
"6821","Escherichia","coli","AMP","=","2","S","PNUSAE013461"
"6825","Escherichia","coli","AMP","=","4","S","PNUSAE006587"
"6828","Escherichia","coli","AMP","=","2","S","SAMN11031640"
"6829","Escherichia","coli","AMP","=","2","S","SAMN13279861"
"6840","Escherichia","coli","AMP","=","2","S","PNUSAE003931"
"6842","Escherichia","coli","AMP","=","2","S","SAMN11031749"
"6843","Escherichia","coli","AMP","=","2","S","PNUSAE006222"
"6844","Escherichia","coli","AMP","=","2","S","PNUSAE008492"
"6846","Escherichia","coli","AMP","=","4","S","PNUSAE009193"
"6847","Escherichia","coli","AMP","=","4","S","PNUSAE008231"
"6848","Escherichia","coli","AMP","=","4","S","PNUSAE008825"
"6859","Escherichia","coli","AMP","=","2","S","PNUSAE006858"
"6864","Escherichia","coli","AMP","=","4","S","PNUSAE005576"
"6865","Escherichia","coli","AMP","=","2","S","SAMN13279863"
"6866","Escherichia","coli","AMP","=","2","S","SAMN13279862"
"6875","Escherichia","coli","AMP","=","2","S","PNUSAE008896"
"6880","Escherichia","coli","AMP","=","2","S","PNUSAE009465"
"6882","Escherichia","coli","AMP","=","2","S","SAMN11031622"
"6883","Escherichia","coli","AMP","=","2","S","SAMN11031616"
"6884","Escherichia","coli","AMP","=","2","S","SAMN11031608"
"6885","Escherichia","coli","AMP","=","2","S","SAMN11031609"
"6886","Escherichia","coli","AMP","=","2","S","PNUSAE004671"
"6887","Escherichia","coli","AMP","<=","1","S","PNUSAE006360"
"6888","Escherichia","coli","AMP","=","2","S","PNUSAE006361"
"6889","Escherichia","coli","AMP","=","2","S","PNUSAE006362"
"6890","Escherichia","coli","AMP","=","2","S","PNUSAE006363"
"6891","Escherichia","coli","AMP","=","2","S","SAMN13280858"
"6892","Escherichia","coli","AMP","=","2","S","SAMN13280857"
"6893","Escherichia","coli","AMP","=","2","S","SAMN13279836"
"6898","Escherichia","coli","AMP","=","2","S","PNUSAE008776"
"6899","Escherichia","coli","AMP","=","2","S","PNUSAE009930"
"6903","Escherichia","coli","AMP","=","2","S","PNUSAE008774"
"6904","Escherichia","coli","AMP","=","2","S","PNUSAE009603"
"6905","Escherichia","coli","AMP","=","2","S","PNUSAE010414"
"6911","Escherichia","coli","AMP","=","2","S","PNUSAE011038"
"6913","Escherichia","coli","AMP","=","2","S","PNUSAE005951"
"6915","Escherichia","coli","AMP","=","2","S","PNUSAE009962"
"6918","Escherichia","coli","AMP","=","2","S","PNUSAE010251"
"6919","Escherichia","coli","AMP","=","2","S","PNUSAE011065"
"6920","Escherichia","coli","AMP","=","2","S","PNUSAE010909"
"6922","Escherichia","coli","AMP","=","2","S","PNUSAE011459"
"6923","Escherichia","coli","AMP","=","4","S","PNUSAE011741"
"6924","Escherichia","coli","AMP","=","4","S","PNUSAE010628"
"6925","Escherichia","coli","AMP","=","2","S","PNUSAE011354"
"6926","Escherichia","coli","AMP","=","4","S","PNUSAE011496"
"6928","Escherichia","coli","AMP","=","4","S","PNUSAE008135"
"6929","Escherichia","coli","AMP","=","4","S","PNUSAE009674"
"6930","Escherichia","coli","AMP","=","2","S","PNUSAE010847"
"6931","Escherichia","coli","AMP","=","4","S","PNUSAE011548"
"6932","Escherichia","coli","AMP","=","4","S","PNUSAE012050"
"6939","Escherichia","coli","AMP","=","2","S","PNUSAE007216"
"6940","Escherichia","coli","AMP","=","4","S","PNUSAE010899"
"6941","Escherichia","coli","AMP","=","2","S","PNUSAE008102"
"6942","Escherichia","coli","AMP","=","4","S","PNUSAE008716"
"6943","Escherichia","coli","AMP","=","2","S","PNUSAE009855"
"6944","Escherichia","coli","AMP","=","2","S","PNUSAE011717"
"6945","Escherichia","coli","AMP","=","4","S","PNUSAE009512"
"6946","Escherichia","coli","AMP","=","2","S","PNUSAE010535"
"6947","Escherichia","coli","AMP","=","4","S","PNUSAE011703"
"6951","Escherichia","coli","AMP","=","4","S","PNUSAE010124"
"6952","Escherichia","coli","AMP","=","2","S","PNUSAE011164"
"6953","Escherichia","coli","AMP","=","2","S","PNUSAE012158"
"6954","Escherichia","coli","AMP","=","2","S","PNUSAE012903"
"6957","Escherichia","coli","AMP","=","4","S","PNUSAE013726"
"6958","Escherichia","coli","AMP","=","2","S","PNUSAE010312"
